date,segment,product,country,customer,business_unit,cost_function,units_sold,unit_price,sales,cogs,gross_profit,operating_expenses,ebitda,budget,cost_actual,cost_budget,downtime_hours,headcount,units_produced,year,month,month_name,quarter,fiscal_quarter,month_year,week_number,gross_margin_pct,ebitda_margin_pct,operating_expense_pct,budget_variance,budget_variance_pct,budget_status,cost_variance,cost_variance_pct,cost_status,cost_per_unit,revenue_per_head,output_per_head,downtime_revenue_loss,margin_rag,cost_rag,downtime_rag,is_top5_customer,customer_concentration
2023-01-01,Consumer Electronics,Display Module,India,Client_11,Export Division,Labour,374,5200.99,1945170.26,1341405.84,603764.42,308413.94,295350.48,1973892.19,1649819.78,1696328.65,5.6,97,334,2023,1,Jan,1,Q1-2023,Jan-2023,52,31.04,15.18,15.86,-28721.93,-1.46,Over Budget,-46508.87,-2.74,Within Budget,4939.58,20053.3,3.44,1361619.18,GREEN,GREEN,GREEN,0,29.36
2023-01-01,Automotive Components,Drive Shaft,Japan,Client_04,North Zone,Labour,220,5705.01,1255102.2,870946.16,384156.04,132437.02,251719.02,1388910.71,1003383.18,953623.67,9.0,28,290,2023,1,Jan,1,Q1-2023,Jan-2023,52,30.61,20.06,10.55,-133808.51,-9.63,Over Budget,49759.51,5.22,Over Budget,3459.94,44825.08,10.36,1411989.98,GREEN,AMBER,AMBER,0,29.36
2023-01-02,Consumer Electronics,Display Module,UK,Client_06,South Zone,Logistics,130,5071.19,659254.7,364757.03,294497.67,119968.63,174529.04,658701.07,484725.66,494399.67,5.6,91,300,2023,1,Jan,1,Q1-2023,Jan-2023,1,44.67,26.47,18.2,553.63,0.08,On Track,-9674.01,-1.96,Within Budget,1615.75,7244.56,3.3,461478.29,GREEN,GREEN,GREEN,1,29.36
2023-01-02,Industrial Equipment,CNC Module,India,Client_15,East Zone,R&D,211,1053.96,222385.56,156829.33,65556.23,48595.29,16960.94,206306.09,205424.62,228203.54,16.6,68,349,2023,1,Jan,1,Q1-2023,Jan-2023,1,29.48,7.63,21.85,16079.47,7.79,On Track,-22778.92,-9.98,Within Budget,588.61,3270.38,5.13,461450.04,GREEN,GREEN,RED,1,29.36
2023-01-03,Automotive Components,Clutch Kit,Japan,Client_04,South Zone,Labour,635,3192.19,2027040.65,1074099.54,952941.11,372800.12,580140.99,1678183.42,1446899.66,1561507.16,9.5,11,619,2023,1,Jan,1,Q1-2023,Jan-2023,1,47.01,28.62,18.39,348857.23,20.79,On Track,-114607.5,-7.34,Within Budget,2337.48,184276.42,56.27,2407110.77,GREEN,GREEN,AMBER,0,29.36
2023-01-03,Consumer Electronics,PCB Assembly,UK,Client_16,East Zone,Logistics,671,6514.49,4371222.79,2225526.02,2145696.77,536855.39,1608841.38,3978799.1,2762381.41,2931821.9,18.4,97,180,2023,1,Jan,1,Q1-2023,Jan-2023,1,49.09,36.81,12.28,392423.69,9.86,On Track,-169440.49,-5.78,Within Budget,15346.56,45064.15,1.86,10053812.42,GREEN,GREEN,RED,1,29.36
2023-01-03,Consumer Electronics,PCB Assembly,India,Client_10,West Zone,Production,643,3236.46,2081043.78,1010307.61,1070736.17,435261.41,635474.76,1951225.95,1445569.02,1416253.95,4.8,110,592,2023,1,Jan,1,Q1-2023,Jan-2023,1,51.45,30.54,20.92,129817.83,6.65,On Track,29315.07,2.07,Over Budget,2441.84,18918.58,5.38,1248626.27,GREEN,GREEN,GREEN,0,29.36
2023-01-04,Industrial Equipment,Sensor Array,UK,Client_09,South Zone,Overhead,543,7755.38,4211171.34,2230607.73,1980563.61,860964.02,1119599.59,4672394.47,3091571.75,3068074.36,1.8,106,271,2023,1,Jan,1,Q1-2023,Jan-2023,1,47.03,26.59,20.44,-461223.13,-9.87,Over Budget,23497.39,0.77,Over Budget,11408.01,39728.03,2.56,947513.55,GREEN,GREEN,GREEN,1,29.36
2023-01-04,Consumer Electronics,Display Module,UK,Client_12,North Zone,Labour,64,2483.44,158940.16,76826.74,82113.42,22923.98,59189.44,173188.22,99750.72,94056.82,9.1,91,420,2023,1,Jan,1,Q1-2023,Jan-2023,1,51.66,37.24,14.42,-14248.06,-8.23,Over Budget,5693.9,6.05,Over Budget,237.5,1746.6,4.62,180794.43,GREEN,AMBER,AMBER,0,29.36
2023-01-06,Automotive Components,Brake Assembly,Japan,Client_01,Export Division,R&D,385,7364.42,2835301.7,1445349.32,1389952.38,305038.9,1084913.48,3165863.65,1750388.22,1922369.17,7.3,62,159,2023,1,Jan,1,Q1-2023,Jan-2023,1,49.02,38.26,10.76,-330561.95,-10.44,Over Budget,-171980.95,-8.95,Within Budget,11008.73,45730.67,2.56,2587212.8,GREEN,GREEN,GREEN,0,29.36
